model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
Model 2,dem_two_party_share_2014_nona,0.12871649356720538,0.0577099386274003,2.230404270540874,0.030209089723591532,0.012820837144715977,0.24461214998969477,50.31833601049489,dem_two_party_share_2018
Model 2,vote_2014_missingTRUE,12.801581849819792,5.740548037436434,2.2300278242313283,0.030235112402971418,1.2731953015093698,24.329968398130212,50.32479767096059,dem_two_party_share_2018
Model 2,dem_two_party_share_2012_nona,0.05484953136094138,0.030056629525924868,1.8248729889567887,0.07580573696858989,-0.005975806414227,0.11567486913610976,38.40622254923926,dem_two_party_share_2018
Model 2,vote_2012_missingTRUE,5.469558672272175,2.990784419163976,1.8288040546236024,0.07519750244480293,-0.5827437319789013,11.521861076523251,38.43003542824709,dem_two_party_share_2018
Model 2,cd_jumble15_16,0.011076393312133295,0.021906313897567423,0.5056256093072449,0.6566638053140538,-0.07099060585800825,0.09314339248227484,2.347604131098493,dem_two_party_share_2018
Model 2,cd_jumble16,0.013407406477771708,0.006717636839809842,1.9958516361463854,0.050707949441112544,-4.272128565690862e-5,0.026857534241200326,57.33594905083048,dem_two_party_share_2018
Model 2,cd_jumble26,0.025378983991471694,0.00942379668904529,2.6930742278187667,0.010738722199658764,0.006256776917055024,0.04450119106588836,35.47312772920777,dem_two_party_share_2018
Model 2,cd_jumble26_27,0.015460216282243353,0.016998192360102585,0.9095211981793369,0.3906110009490831,-0.023993139074605756,0.05491357163909246,7.712875046755456,dem_two_party_share_2018
Model 2,cd_jumble27,0.016165011145402808,0.01409486593033445,1.146872288484353,0.257094994479879,-0.012171479824193008,0.04450150211499862,48.20653451980682,dem_two_party_share_2018
Model 2,cd_jumble27_26,0.017412993457869286,0.024751754303214857,0.7035054261025699,0.49574764720364894,-0.03678205866401513,0.0716080455797537,11.491960319288237,dem_two_party_share_2018
Model 3,(Intercept),0.47885921217354266,0.022792999276121058,21.009047838439432,2.3377532411429183e-20,0.432441663062872,0.5252767612842133,32.18156941726292,dem_two_party_share_2018
Model 3,treatmentvideo_1,-0.015407671894252626,0.02444246906606207,-0.630364790586803,0.5313744368196074,-0.06452219048810721,0.03370684669960196,49.17662392242417,dem_two_party_share_2018
Model 3,treatmentvideo_2,0.023500494260002273,0.027237797142254407,0.8627898261106293,0.3926164721365526,-0.031288956459753756,0.0782899449797583,47.19347610394449,dem_two_party_share_2018
Model 3,cd_jumble15_16,0.04708275432308871,0.049761259246503896,0.9461728870214761,0.43349191270672716,-0.14424688640150696,0.2384123950476844,2.2719206252028137,dem_two_party_share_2018
Model 3,cd_jumble16,-0.029807497915334564,0.024575128509935002,-1.2129132062639782,0.22997994305897732,-0.07897855471477172,0.01936355888410259,59.21074115763721,dem_two_party_share_2018
Model 3,cd_jumble26,0.053105598887712074,0.040358412206089656,1.3158495586131855,0.19810843509616222,-0.029288173841468423,0.13549937161689257,30.254822221325888,dem_two_party_share_2018
Model 3,cd_jumble26_27,-0.017702477307700252,0.06644740728008346,-0.2664133640772811,0.7983381742319361,-0.17803942163276257,0.14263446701736207,6.368585022739065,dem_two_party_share_2018
Model 3,cd_jumble27,0.04080282232045922,0.032851268273043674,1.2420470948435267,0.22178109722417125,-0.025686848613945837,0.10729249325486427,38.249532943385276,dem_two_party_share_2018
Model 3,cd_jumble27_26,0.050929611603902386,0.04007097154780357,1.270985195433676,0.24027862239076472,-0.0418660404270224,0.14372526363482718,7.810438338877924,dem_two_party_share_2018
Model 4,(Intercept),0.008843425636287679,0.012687755198567303,0.6970047496886034,0.49280260725160296,-0.017406822304349333,0.035093673576924694,22.942717481211535,dem_two_party_share_2018
Model 4,treatmentvideo_1,-0.0038829926823391475,0.011566321522052593,-0.3357154368340662,0.7384620997214917,-0.02710311784570285,0.019337132481024553,51.021195114999585,dem_two_party_share_2018
Model 4,treatmentvideo_2,1.0737788774877617e-4,0.009940557806399164,0.01080199822183544,0.9914260828608508,-0.01987819123037088,0.02009294700586843,48.117604554464386,dem_two_party_share_2018
Model 4,dem_two_party_share_2016_nona,0.8607826963057996,0.06577769003139478,13.08624088037996,3.48578540424387e-15,0.7273378589056232,0.994227533705976,35.680434513714566,dem_two_party_share_2018
Model 4,vote_2016_missingTRUE,85.5855929932182,6.543554008972877,13.079374431059724,3.4634814071991913e-15,72.31112396688022,98.86006201955618,35.72666138776698,dem_two_party_share_2018
Model 4,dem_two_party_share_2014_nona,0.12753178505407495,0.05951742348206402,2.142763876405159,0.036971012661319504,0.00801898497702784,0.24704458513112204,50.53696667607866,dem_two_party_share_2018
Model 4,vote_2014_missingTRUE,12.684141834843345,5.919734646319222,2.1426875683912794,0.03697685403445173,0.7971700611864083,24.571113608500283,50.54317668295845,dem_two_party_share_2018
Model 4,dem_two_party_share_2012_nona,0.054409102819813676,0.03058942756309801,1.7786898008333725,0.0832453540441129,-0.007504117398263246,0.1163223230378906,38.22255064283754,dem_two_party_share_2018
